expected_speed,predicted_speed,angle,error
29.119999999999997,29.254999999999985,-2.208,27
28.8,27.982499999999998,-29.6,45
28.579999999999995,27.784999999999986,-29.6,42
28.24,27.537499999999994,-29.6,45
28.419999999999998,29.577499999999997,-0.74,20
28.8,30.692500000000017,1.48,-8
29.18,29.404999999999994,2.96,-26
29.3,28.34499999999999,29.6,-36
29.979999999999997,30.96750000000001,0.0,-11
30.079999999999995,30.645,-2.96,15
29.48,28.290000000000013,-29.6,38
28.76,26.589999999999993,-29.6,62
27.8,24.435000000000006,-29.6,84
26.220000000000006,23.305000000000003,-29.6,90
24.82,23.457500000000003,-29.6,85
24.32,25.45750000000001,-29.6,63
24.72,27.01249999999999,-29.6,42
26.060000000000002,29.382499999999975,-0.74,17
27.820000000000004,31.18749999999998,0.74,-2
29.18,30.487499999999976,2.96,-17
30.04,30.134999999999998,2.22,-20
30.4,29.744999999999997,2.96,-24
30.24,29.552500000000002,2.96,-25
29.8,29.5875,2.22,-24
29.619999999999997,29.445,2.96,-26
29.5,29.4075,2.96,-26
29.459999999999997,29.4,2.96,-26
29.439999999999998,29.4,2.96,-26
29.440000000000005,29.534999999999997,2.22,-24
29.48,29.590000000000003,2.22,-24
29.4,29.129999999999995,22.08,-30
29.380000000000003,29.357499999999987,1.6560000000000001,-27
29.439999999999998,29.667500000000018,1.6560000000000001,-23
